fecha,turno,cabeza,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
07/09/2026,Nocturna,83,4883,6826,6251,8367,4574,6634,4945,7109,9475,5658,4624,9702,8592,6549,8265,1940,4348,7081,3905,1290
05/09/2026,Vespertina,58,5858,8376,2208,3289,1612,6958,6416,5063,7142,0463,3563,9152,9652,9369,7338,3320,9086,5669,9511,1348
05/09/2026,Tarde,74,5274,1833,0853,5038,8136,3316,6338,7225,5834,9422,8246,5758,5659,8098,1768,5490,2832,3749,8378,1653
05/09/2026,Nocturna,54,7254,3035,1441,9744,8435,1049,2041,1257,1717,6158,4858,5514,2378,0452,3778,1654,2553,6459,7808,9622
04/09/2026,Vespertina,15,0415,6551,5234,4717,6716,6866,9542,9225,0012,5263,0211,4688,0052,3526,0601,5200,8145,8698,0427,4911
04/09/2026,Tarde,04,4604,0251,8355,6798,0472,0899,8234,2500,3040,5598,1173,5089,8596,7774,6317,5913,1180,8877,8321,9318
04/09/2026,Nocturna,11,2211,4238,6026,2850,5538,7840,0112,6421,6355,4230,4526,9176,2252,1626,1870,0756,0755,6046,3147,3544
03/09/2026,Vespertina,38,9538,7295,1671,0530,8859,8914,1825,4823,2664,6982,9469,0262,2357,2594,7162,5581,6154,7482,3601,5418
03/09/2026,Tarde,76,9976,7804,0977,3418,2668,8641,6942,5506,9462,1083,1984,6985,6916,9651,7096,6833,8027,6327,0199,4404
03/09/2026,Nocturna,73,1173,9267,0885,6193,8577,2657,5380,2115,1939,4242,5332,1918,1352,8481,4873,6648,5327,9506,1394,2038
02/09/2026,Vespertina,96,8596,5321,8846,4137,1412,2490,3356,7525,9033,4369,7124,4477,9106,0769,7963,3917,5257,7732,4013,6736
02/09/2026,Tarde,76,8676,4660,7342,3972,1282,0088,3629,1609,4260,0042,2892,5699,7708,1568,6217,7945,5479,6987,0243,7194
02/09/2026,Nocturna,91,1991,4144,0364,6511,6810,3464,3721,0240,0999,7438,3787,8757,0128,1011,0874,2683,6788,2936,7941,0286
01/09/2026,Vespertina,02,4602,1636,5174,2862,1051,9448,1596,7909,1624,3330,7193,9629,1046,8726,5220,9342,7563,1311,9901,7895
01/09/2026,Tarde,39,8139,8670,2970,4217,5990,1871,4676,5558,0683,5568,9733,1988,9095,3488,6690,3004,9398,1521,8065,5025
01/09/2026,Nocturna,92,0392,3259,7669,1003,4146,2771,8245,8612,5298,9243,0179,1189,9945,1311,2954,6227,8896,5570,9529,4966
31/08/2026,Vespertina,47,4547,0002,0047,3356,8884,3040,1119,7834,6020,6634,7634,9115,4227,6527,6897,1589,5884,1114,6432,9134
31/08/2026,Tarde,58,2258,5361,6230,9188,4043,4719,4782,9899,6609,0922,7229,7480,5429,0415,1168,0323,8222,8756,2785,2479
31/08/2026,Nocturna,47,1547,8730,0035,6826,8286,9415,7275,2745,1321,3072,5361,5453,3103,8218,4222,4646,3635,3186,5583,5491
29/08/2026,Vespertina,98,9498,9772,4381,0291,6561,7727,9812,0702,9509,8998,1155,4441,7995,1103,3090,4652,3928,4800,0745,6114
29/08/2026,Tarde,30,8730,6021,4569,4509,4298,1317,0055,4820,5319,7683,6893,2027,7810,7119,8398,5316,8751,7121,3616,1220
29/08/2026,Nocturna,58,1158,9921,8148,4005,9780,0842,9858,8067,4001,8010,8498,7515,8625,0125,0572,8575,9592,0696,3401,6418
28/08/2026,Vespertina,97,2097,9982,5189,7805,6864,0346,7478,6928,3046,4217,9396,6013,9223,3637,5308,7691,3405,1909,0279,9622
28/08/2026,Tarde,65,8665,1466,3089,2870,2329,1967,5408,6027,0109,4386,5180,4217,8130,5514,7970,6968,0668,2626,0217,9957
28/08/2026,Nocturna,03,9603,2571,5724,0060,2650,2526,4437,3111,5192,2918,5568,0724,3815,0444,1429,1818,3535,8550,2197,2342
27/08/2026,Vespertina,41,6441,3468,7911,0064,3514,0183,5592,5251,5592,6958,2640,4702,3913,8116,4512,0197,1138,7305,0259,6739
27/08/2026,Tarde,87,7487,0230,6606,2572,5672,3422,1981,8703,0204,1247,3715,6284,1589,4847,9806,7807,0847,8643,7515,0020
27/08/2026,Nocturna,66,3166,6523,9533,7968,9367,7852,4554,2793,2414,5717,7664,6974,0884,1337,2914,5474,3826,8037,3130,2723
26/08/2026,Vespertina,46,1346,9994,7188,7142,8695,6146,7071,4273,9790,1432,2520,1408,4065,7870,7516,8798,5515,2857,7287,4619
26/08/2026,Tarde,45,1745,9976,1212,1580,4381,2408,7698,1946,2313,8281,9587,1291,2398,7670,8098,1913,0554,7717,5740,8236
26/08/2026,Nocturna,02,4002,1992,6653,1822,2019,0984,4810,5193,6741,8259,6943,2599,8960,8370,6863,8029,8949,4390,2228,0145
25/08/2026,Vespertina,32,2832,9379,3130,2392,7723,7788,2973,7030,2667,1916,7310,6673,8230,1832,7622,5983,1599,5729,6099,4757
25/08/2026,Tarde,66,9966,4903,2322,8868,8996,1751,4658,2187,8016,8929,8785,0777,7280,5205,7294,3581,1821,9761,2790,6607
25/08/2026,Nocturna,54,2554,1931,9450,6075,8205,8124,2481,8128,1437,1101,6492,3647,0104,3420,9222,7454,3393,6541,9192,1053
24/08/2026,Vespertina,44,2144,5304,8076,3482,2218,4733,7015,3820,3982,1575,3892,0259,9013,4993,1346,9102,8632,2603,8741,8233
24/08/2026,Tarde,59,1159,6717,0190,1459,2428,8543,5106,9838,3303,1882,9708,6322,0377,4383,7619,4698,6810,1423,9048,5557
24/08/2026,Nocturna,69,9869,2400,2297,3593,8412,6270,2256,5888,3371,4766,0892,5263,2902,0391,1000,3307,7651,8029,0964,5427
22/08/2026,Vespertina,25,4525,1847,9197,1069,9459,5744,8331,7922,6284,7044,4115,9240,2992,8740,9101,3285,8532,2716,0369,4089
22/08/2026,Tarde,79,9079,1505,9946,4868,4587,2372,2423,1354,9660,4228,9866,6392,5011,9997,3424,6201,7712,0132,1909,2487
22/08/2026,Nocturna,06,0606,7596,5466,8068,3970,6464,2165,0685,1860,3998,5059,8952,6005,5377,0310,8176,6936,7998,2501,9361
21/08/2026,Vespertina,83,3383,1936,1543,9912,3754,2331,0313,5053,0356,9527,1840,7601,5080,8027,8924,3912,5804,9849,8075,2913
21/08/2026,Tarde,90,0990,6969,0498,6989,8641,8844,9642,2341,9007,8281,1807,4774,7586,3828,6443,4042,5731,8770,7763,4686
21/08/2026,Nocturna,29,6529,1526,4925,5792,0254,2903,4685,2347,6653,0965,1925,1523,4506,3348,0370,8468,2734,6057,0083,8040
20/08/2026,Vespertina,56,6856,7860,6716,7521,0718,5410,9973,9297,9825,1373,5520,8881,2214,5707,8763,4396,3647,7836,1728,2117
20/08/2026,Tarde,73,2773,2973,1427,2349,1945,2202,0752,8756,1423,0555,4062,8114,0720,4813,2839,0590,3181,4664,8506,7941
20/08/2026,Nocturna,49,1549,7215,3881,5696,4197,0861,8116,8119,4298,1537,0353,2770,4090,8287,6821,3412,8382,3495,7352,3465
19/08/2026,Vespertina,13,5113,2521,9115,9655,9750,5076,9351,5087,2156,0196,5490,8505,6851,0183,0326,4161,4746,3955,5973,0782
19/08/2026,Tarde,49,7049,6131,9798,4188,6179,9975,8839,9050,4323,2390,9549,7343,7645,2163,9415,7648,4169,7423,5800,2687
19/08/2026,Nocturna,97,2797,0779,8760,0734,5531,6358,1168,8762,3937,5438,5198,7892,3858,0418,0031,6520,3434,0037,1723,8988
18/08/2026,Vespertina,93,0493,1310,5598,4933,1055,2180,3546,1158,3230,5785,6242,9248,7181,0868,5098,9702,0547,1370,8153,7901
18/08/2026,Tarde,48,7448,7686,3801,4541,3092,6246,5883,0253,9538,1574,7153,3069,5774,1357,3251,7103,7424,3212,2070,3655
18/08/2026,Nocturna,04,4204,8232,6468,5445,8452,3691,7433,3814,6185,6869,9915,4141,9770,7363,5016,9022,2502,3312,8826,2240
